name	Subtitle	category	price	Linking	source1
TCAT Bus ride		Consumer Goods/Services	1.5		
Lunch at Apollo's	3 choices	Consumer Goods/Services	8.75		
Big Red Barber	Haircut	Consumer Goods/Services	12		http://www.yelp.com/biz/big-red-barber-shop-ithaca
Xbox 360		Consumer Goods/Services	100	Xbox	http://www.gamestop.com/browse/xbox-360/systems?nav=1385-c4
Hire a Clown	1 Hour	Entertainment	150		http://www.speedotheclown.com/
Skydiving		Entertainment	250		http://nolimitsskydiving.com/tandem-skydiving/pricing-discounts/
Xbox One		Consumer Goods/Services	400	Xbox	http://www.techradar.com/news/gaming/consoles/ps4-vs-xbox-720-which-is-better-1127315/4
iPhone 5s		Consumer Goods/Services	450	Iphone	http://www.apple.com/shop/buy-iphone/iphone6s/5.5-inch-display-128gb-space-gray
3D Printer		Consumer Goods/Services	699		http://us.xyzprinting.com/us_en/Product/da-Vinci-1.0-Professional?gclid=CPnH3ZzBrcsCFddahgodE70C-g
Coach Bag		Consumer Goods/Services	795		http://www.coach.com/rogue-bag-in-suede/38220.html?cgid=women-handbags&dwvar_color=DKL4A
Verizon Fios	Year of Internet	Consumer Goods/Services	840		http://www.highspeedexperts.com/verizon-fios-deals/
iPhone 6s		Consumer Goods/Services	949	Iphone	http://www.apple.com/shop/buy-iphone/iphone6s/5.5-inch-display-128gb-space-gray
13'' Macbook Pro	2015	Consumer Goods/Services	1799	Macbook	http://www.apple.com/shop/browse/home/specialdeals/mac/macbook_pro/15
15" MacBook Pro	2015	Consumer Goods/Services	2499	Macbook	http://www.apple.com/shop/buy-mac/macbook-pro
Groceries For a Year		Consumer Goods/Services	9240		http://www.thesimpledollar.com/whats-an-appropriate-home-food-budget-for-a-family-of-four/
Public School System	Average Annual Cost Per Student	Government Spending	12401		https://nces.ed.gov/fastfacts/display.asp?id=66
C300 Sedan	Mercedes C-Class Sedan	Consumer Goods/Services	38950	Mercedes	http://www.mbusa.com/mercedes/vehicles/class/class-S/bodystyle-MAY
Average US Annual Income		Government Spending	51939		https://en.wikipedia.org/wiki/Household_income_in_the_United_States
Cell Phone Bill	For Life	Consumer Goods/Services	63900		http://business.time.com/2012/10/18/47-a-month-why-youre-probably-paying-double-the-average-cell-phone-bill/
4 Year College Education	Single Student	Education	175684		http://trends.collegeboard.org/college-pricing/figures-tables/average-published-undergraduate-charges-sector-2015-16
AMG S65 Sedan	Mercedes	Consumer Goods/Services	224650	Mercedes	
Utilities	For Life	Consumer Goods/Services	450000		http://ohmyapt.apartmentratings.com/breaking-down-the-average-utility-costs-per-month-whats-normal.html
Upson Hall	Original 1958	Education	1988083	Upson	http://cornell-classic.univcomm.cornell.edu/xsearch/?tab=facts&q=Upson%2520Hall&id=764
Super Bowl Ad		Entertainment	4500000		http://fortune.com/2015/08/06/super-bowl-ad-cost/
2015 WSOP	Poker Tournament Prize Pool	Entertainment	37333338	Poker	https://en.wikipedia.org/wiki/List_of_largest_poker_tournaments_in_history_(by_prize_pool)
Duffield Hall		Education	58500000		https://brancra.wordpress.com/tag/engineering-quad/
2014 WSOP	Poker Tournament Prize Pool	Entertainment	60348000	Poker	https://en.wikipedia.org/wiki/List_of_largest_poker_tournaments_in_history_(by_prize_pool)
Upson Hall	Renovation 2016	Education	74500000	Upson	https://www.engineering.cornell.edu/about/faqs-for-upson-hall-renovations.cfm
Original Star Wars Trilogy	Budget	Entertainment	86700000	Star Wars	https://en.wikipedia.org/wiki/Star_Wars#Box_office_performance
Prequel Star Wars Trilogy	Budget	Entertainment	343000000	Star Wars	https://en.wikipedia.org/wiki/Star_Wars#Box_office_performance
Yahoo	IPO Market Cap 1996	Corporations	583700000	Yahoo	http://www.wikinvest.com/stock/Yahoo!_(YHOO)/Data/Market_Capitalization
Apple	IPO Market Cap 1980	Corporations	1778000000	Apple	http://www.edn.com/electronics-blogs/edn-moments/4403276/Apple-IPO-makes-instant-millionaires--December-12--1980
LA Lakers		Entertainment	2600000000		http://www.latimes.com/sports/sportsnow/la-sp-sn-powerball-teams-20160113-story.html
Cornell University	Endowments	Education	5300000000		http://www.nonprofitcollegesonline.com/wealthiest-universities-in-the-world/
Housing for Homeless	1 year all homeless in US	Consumer Goods/Services	6131532142		http://thinkprogress.org/economy/2014/05/27/3441772/florida-homeless-financial-study/
Head-Start	U.S Pre-School Program Funding	Government Spending	9000000000		http://federalsafetynet.com/safety-net-programs.html
Supply of Drinking Water	Annual Supply for the World	Consumer Goods/Services	10000000000		http://www.nytimes.com/2000/11/23/world/price-of-safe-water-for-all-10-billion-and-the-will-to-provide-it.html
Aircraft Carrier	Ford-Class	Government Spending	13942000000		http://www.fool.com/investing/general/2015/05/25/the-navys-most-expensive-aircraft-carrier-ever-jus.aspx
Iceland	GDP	Country	17036000000		http://data.worldbank.org/country/iceland
Google	IPO Market Cap 2004	Corporations	23000000000	Google	http://www.forbes.com/sites/jayritter/2014/08/07/googles-ipo-10-years-later/#7db2241970f9
Yahoo	Present Market Cap	Corporations	32030000000	Yahoo	http://finance.yahoo.com/q?s=FB
Harvard University	Endowments	Education	32334000000		http://www.nonprofitcollegesonline.com/wealthiest-universities-in-the-world/
German military budget	Annual	Government Spending	48617000000		http://militarybudget.org/germany/
Uber	Private Valuation	Corporations	62500000000		http://www.bloomberg.com/news/articles/2015-12-03/uber-raises-funding-at-62-5-valuation
SNAP Program	US Food Stamps Program	Government Spending	74100000000		http://www.fns.usda.gov/pd/supplemental-nutrition-assistance-program-snap
California Bullet Train System		Government Spending	98500000000		http://www.nbclosangeles.com/news/local/Californias-Bullet-Train-to-Cost-985-Billion-What-Else-That-Can-Buy-133041823.html
New Zealand	GDP	Country	1.86E+11		http://www.tradingeconomics.com/new-zealand/gdp
Google	Present Market Cap	Corporations	4.91E+11	Google	http://www.bloomberg.com/quote/GOOG:US
Norway	GDP 2013	Country	5.13E+11		https://www.google.com/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=gdp+of+norway
Apple	Present Market Cap	Corporations	5.75E+11	Apple	http://finance.yahoo.com/q;_ylt=AoMWOY_XDwigbRpxji5OQkJcXsQF;_ylc=X1MDMjE0MjQ3ODk0OARfcgMyBGZyA3VoM19maW5hbmNlX3dlYl9nc19jdHJsMQRmcjIDc2EtZ3AEZ3ByaWQDBG5fZ3BzAzEwBG9yaWdpbgNmaW5hbmNlLnlhaG9vLmNvbQRwb3MDMQRwcXN0cgMEcXVlcnkDQUFQTCwEc2FjAzEEc2FvAzE-?p=http%3A%2F%2Ffinance.yahoo.com%2Fq%3Fs%3DAAPL%26ql%3D0&uhb=uhb2&fr=uh3_finance_vert_gs_ctrl1&s=AAPL
US military budget	Annual	Government Spending	6.01E+11		http://www.businessinsider.com/how-the-us-military-spends-its-billions-2015-8
Social Security U.S		Government Spending	8.51E+11		http://federalsafetynet.com/safety-net-programs.html
Indonesia	GDP 2013	Country	8.68E+11		https://www.google.com/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=gdp+indonesia
Annual cost of Medicaid & Medicare		Government Spending	1.11E+12		http://kff.org/medicaid/state-indicator/medicaid-spending-per-enrollee/
Africa	GDP of all African Countries	Country	2.25E+12		http://knoema.com/IMFWEO2015Oct/imf-world-economic-outlook-weo-october-2015
Feed the World	Every Person	Consumer Goods/Services	3.08E+12		http://andrewhy.de/how-to-live-comfortably-on-36-a-month-for-food/
4 Year College Education	All Americans ages 18-25	Education	5.53E+12		http://trends.collegeboard.org/college-pricing/figures-tables/average-published-undergraduate-charges-sector-2015-16
US National Debt			1.90E+13		